學號,性別,學籍班(簡稱),入學年,入學月,入學身分,入學方式,名額區分,部別,學制,系科,通訊郵遞區號,戶籍郵遞區號,畢業方式,畢業年月,畢業學校,畢業科系,是否新住民二代
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,408,408,畢業,10706,私立新民高中,資訊科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,326,326,畢業,10706,私立六和高中,資訊科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,852,852,畢業,10706,私立長榮高中,資訊科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,406,406,畢業,10706,私立新民高中,資訊科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,407,407,畢業,10706,私立僑泰高中,資訊科,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,433,433,畢業,10706,私立嶺東高中,多媒體設計科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,648,648,畢業,10706,國立土庫商工,廣告設計,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,711,711,畢業,10706,國立新豐高中,廣告設計,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,427,427,畢業,10706,國立大甲高中,廣告設計,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,608,608,畢業,10706,國立華南高商,廣告設計科,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,436,436,畢業,10706,國立大甲高中,室內設計,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,420,420,畢業,10706,市立臺中家商,流行服飾科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,407,407,畢業,10706,財團法人光華高工,多媒體動畫科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,427,427,畢業,10706,財團法人光華高工,多媒體動畫科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,406,406,畢業,10706,私立大明高中,多媒體動畫科,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,420,420,畢業,10706,私立大明高中,多媒體動畫科,否
10715***,男,日資科107孝,107,8,退伍軍人,聯合分發,外加,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,260,260,畢業,10106,國立蘇澳海事,水產食品科,否
10715***,女,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,304,304,畢業,10706,縣立湖口高中,商管群其他學程,否
10715***,女,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,427,427,畢業,10706,市立新社高中,資料處理科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,407,407,畢業,10706,私立新民高中,資訊科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,412,412,畢業,10706,私立僑泰高中,資訊科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,429,429,畢業,10706,私立青年高中,電子科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,408,408,畢業,10706,私立僑泰高中,電子科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,505,505,畢業,10706,國立彰師附工,電機科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,408,408,畢業,10706,私立僑泰高中,電子科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,412,412,畢業,10706,私立僑泰高中,電子科,否
10715***,男,日資科107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,509,509,畢業,10706,財團法人正德高中,電子科,否
10713***,男,日觀光107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制觀光與休閒事業管理系,411,411,畢業,10706,市立豐原高商,商業經營科,否
10713***,男,日觀光107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制觀光與休閒事業管理系,509,509,畢業,10706,國立彰化高商,商業經營科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,369,369,畢業,10706,國立卓蘭實驗高中,資料處理科,否
10715***,女,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,411,411,畢業,10706,私立新民高中,資料處理科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,600,600,畢業,10706,私立興華高中,資料處理科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,540,540,畢業,10706,國立南投高商,資料處理科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,512,512,畢業,10706,國立北斗家商,國際貿易科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,408,408,畢業,10706,私立嶺東高中,電子科,否
10715***,女,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,807,807,畢業,10706,市立中正高工,控制科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,654,654,畢業,10706,私立協志工商,資訊科,否
10715***,女,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,928,928,畢業,10706,市立海青工商,資訊科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,403,403,畢業,10706,私立開南商工,資訊科,否
10715***,男,日資科107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制資訊科技系,337,337,畢業,10706,桃園市振聲高中,資訊科,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,302,302,畢業,10706,私立光復高中,餐飲服務,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,300,300,畢業,10706,私立忠信高中,觀光餐飲,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,239,239,畢業,10706,桃園市新興高中,觀光事業科,否
10714***,男,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,438,438,畢業,10706,國立大甲高中,資訊應用,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,500,500,畢業,10706,國立彰化高商,資料處理科,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,509,509,畢業,10706,財團法人正德高中,應用外語科(英文組),否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,530,530,畢業,10706,私立文興高中,其他,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,526,526,畢業,10706,國立北斗家商,應用英語,否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,434,434,畢業,10706,私立宜寧高中,應用外語科(日文組),否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,402,402,畢業,10706,私立僑泰高中,應用外語科(英文組),否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,437,437,畢業,10706,私立致用高中,應用外語科(英文組),否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,420,420,畢業,10706,國立卓蘭實驗高中,應用外語科(英文組),否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,428,428,畢業,10706,國立卓蘭實驗高中,應用外語科(英文組),否
10714***,男,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,406,406,畢業,10706,私立新民高中,應用外語科(英文組),否
10714***,女,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,407,407,畢業,10706,私立嶺東高中,應用外語科(英文組),否
10714***,男,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,407,407,畢業,10706,私立嶺東高中,應用外語科(英文組),否
10714***,男,日應英107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,438,438,畢業,10606,國立大甲高中,綜合高中學術,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,408,408,畢業,10706,私立明德高中,觀光事業科,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,608,608,畢業,10706,私立興華高中,觀光事業科,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,411,411,畢業,10706,私立慈明高中,觀光事業科,否
10714***,男,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,231,231,畢業,10706,私立能仁家商,餐飲管理,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,701,701,畢業,10706,私立長榮高中,觀光事業科,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,334,334,畢業,10706,桃園市新興高中,觀光事業科,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,406,406,畢業,10706,市立東勢高工,室內空間設計科,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,411,411,畢業,10706,私立明德高中,應用外語科(英文組),否
10714***,男,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,433,433,畢業,10706,私立宜寧高中,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,426,426,畢業,10706,私立宜寧高中,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,320,320,畢業,10706,桃園市育達高中,應用外語科(英文組),否
10714***,男,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,263,263,畢業,10706,國立宜蘭高商,應用英語,否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,414,414,畢業,10706,私立僑泰高中,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,420,420,畢業,10406,財團法人常春藤高中,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,412,412,畢業,10706,國立南投高商,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,508,508,畢業,10706,財團法人正德高中,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,406,406,畢業,10706,私立嶺東高中,應用外語科(英文組),否
10714***,女,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,403,403,畢業,10706,私立僑泰高中,應用外語科(英文組),否
10714***,男,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,542,542,畢業,10706,國立南投高商,資料處理科,否
10714***,男,日應英107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制應用英語系,648,648,畢業,10706,國立土庫商工,資料處理科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,428,428,畢業,10706,私立新民高中,觀光事業科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,401,401,畢業,10706,私立新民高中,觀光事業科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,411,411,畢業,10706,私立新民高中,觀光事業科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,406,406,畢業,10706,私立新民高中,觀光事業科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,407,404,畢業,10706,私立新民高中,應用外語科(英文組),否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,412,412,畢業,10706,私立大明高中,觀光事業科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,324,324,畢業,10706,桃園市振聲高中,觀光事業科,否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,427,427,畢業,10706,私立嶺東高中,應用外語科(英文組),否
10714***,男,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,407,407,畢業,10706,私立嶺東高中,應用外語科(英文組),否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,435,435,畢業,10706,私立嶺東高中,應用外語科(英文組),否
10714***,男,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,406,406,畢業,10706,私立新民高中,應用外語科(英文組),否
10714***,女,日旅展107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,428,428,畢業,10706,私立新民高中,資料處理科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,435,435,畢業,10706,私立致用高中,觀光事業科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,435,435,畢業,10706,私立致用高中,觀光事業科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,700,700,畢業,10706,私立長榮高中,觀光事業科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,500,500,畢業,10706,國立員林家商,家政科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,306,306,畢業,10706,國立關西高中,餐飲服務,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,302,302,畢業,10706,國立關西高中,餐飲服務,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,514,514,畢業,10706,國立北斗家商,餐飲服務,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,330,330,畢業,10706,私立永平工商,餐飲技術科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,408,408,畢業,10706,私立明道高中,餐飲管理科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,608,608,畢業,10706,國立嘉義家職,餐飲管理科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,412,412,畢業,10706,私立宜寧高中,觀光事業科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,406,406,畢業,10706,國立興大附農,餐飲管理科,否
10714***,男,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,542,542,畢業,10706,市立霧峰農工,餐飲管理科,否
10714***,女,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,428,428,畢業,10706,私立明德高中,餐飲管理科,否
10714***,男,日旅展107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制旅館與會展管理系,403,403,畢業,10706,私立明道高中,商業經營科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,411,411,畢業,10706,國立興大附農,餐飲管理科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,408,408,畢業,10706,私立明道高中,餐飲管理科,否
10713***,男,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,220,220,畢業,10706,私立智光商工,餐飲管理科,否
10713***,男,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,269,269,畢業,10706,國立羅東高商,餐飲管理科,否
10713***,男,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,114,114,畢業,10706,私立育達家商,餐飲管理科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,242,242,畢業,10706,私立育達家商,餐飲管理科,否
10713***,男,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,412,412,畢業,10706,私立明德高中,觀光事業科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,408,408,畢業,10706,私立宜寧高中,觀光事業科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,404,704,畢業,10706,國立臺南高商,觀光事業科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,730,730,畢業,10706,國立新營高工,餐飲管理科,否
10713***,女,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,950,950,畢業,10706,國立臺東高商,觀光事務,否
10713***,男,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,436,436,畢業,10706,私立明道高中,餐飲管理科,否
10713***,男,日餐管107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制餐飲管理系,434,434,畢業,10706,私立明道高中,餐飲管理科,否
